Species_name,Taxonomic_group
PORIFERA,Sponge
BERRYTEUTHIS.MAGISTER,Squid
ROSSIA.PACIFICA,Squid
STRONGYLOCENTROTUS,Urchin
STRONGYLOCENTROTUS.DROEBACHIENSIS,Urchin
STRONGYLOCENTROTUS.PALLIDUS,Urchin
STRONGYLOCENTROTUS.PURPURATUS,Urchin
EUALUS.SUCKLEYI,Shrimp
BALTICINA.SEPTENTRIONALIS,SeaPen
LUMPENELLA.LONGIROSTRIS,Fish
CYMATOGASTER.AGGREGATA,Fish
DORYTEUTHIS.OPALESCENS,Squid
NECTOLIPARIS.PELAGICUS,Fish
LEPTOCLINUS.MACULATUS,Fish
MICROGADUS.PROXIMUS,Fish
HYDROLAGUS.COLLIEI,Fish
HOLOTHUROIDEA,Sea cucumber
DORIDIDAE,Nudibranch
EUALUS,Shrimp
ALLOCENTROTUS.FRAGILIS,Urchin
ALLOSMERUS.ELONGATUS,Fish
ANTEDONIDAE,Criniod
APHRODITA,Worm
APOSTICHOPUS.LEUKOTHELE,Sea cucumber
APRISTURUS.BRUNNEUS,Fish
ARTEDIUS.HARRINGTONI,Fish
BRISASTER.LATIFRONS,Urchin
BROSMOPHYCIS.MARGINATA,Fish
CALLIOSTOMA.ANNULATUM,Snail
CALLIOSTOMATIDAE,Snail
CHILARA.TAYLORI,Fish
CHITONOTUS.PUGETENSIS,Snail
CITHARICHTHYS.SORDIDUS,Fish
CRYPTACANTHODES.ALEUTENSIS,Fish
CYCLOSALPA.AFFINIS,Jellyfish
DENDROBRANCHIATA,Shrimp
DERMASTERIAS.IMBRICATA,Seastar
ENTOSPHENUS.TRIDENTATUS,Fish
EOPSETTA.JORDANI,Fish
EUALUS.BARBATUS,Shrimp
EUALUS.MACROPTHALMUS,Shrimp
GASTEROSTEIDAE,Fish
GASTEROSTEUS.ACULEATUS,Fish
GASTROPODA,Snail
HAPALOGASTER.MERTENSII,Crab
HEXANCHUS.GRISEUS,Fish
ICELINUS.FILAMENTOSUS,Fish
ICELINUS.TENUIS,Fish
ISOPODA,Isopod
ISOPSETTA.ISOLEPIS,Fish
LEBBEUS.GRANDIMANA,Shrimp
LUIDIA.FOLIOLATA,Seastar
LUMPENUS.SAGITTA,Fish
LYCODAPUS.MANDIBULARIS,Fish
LYOPSETTA.EXILIS,Fish
MESOCENTROTUS.FRANCISCANUS,Urchin
METACARCINUS.MAGISTER,Crab
MOLPADIA,Sea cucumber
MOLPADIA.INTERMEDIA,Sea cucumber
MUNIDA.QUADRISPINA,Crab
MYCTOPHIDAE,Fish
NEOCRANGON.COMMUNIS,Shrimp
NEREIDIDAE,Worm
OPHIUROIDEA,Worm
PAGUROIDEA,Crab
PARALIPARIS.DEANI,Fish
PAROPHRYS.VETULUS,Fish
PASIPHAEA.PACIFICA,Shrimp
PECTINIDAE,Bivalve
PHOLIDAE,Fish
PODOTHECUS.ACCIPENSERINUS,Fish
POLYNOE,Worm
PORICHTHYS.NOTATUS,Fish
POROCLINUS.ROTHROCKI,Fish
PSOLUS.CHITONOIDES,Sea cucumber
PSYCHROLUTES.PARADOXUS,Fish
PYROSOMA,Pyrosome
RADULINUS.ASPRELLUS,Fish
SCYPHOZOA,Jellyfish
SERGESTES.SIMILIS,Shrimp
SIPUNCULA,Worm
SOLASTER,Seastar
SOLASTER.STIMPSONI,Seastar
SPIRONTOCARIS.HOLMESI,Shrimp
SPIRONTOCARIS.LAMELLICORNIS,Shrimp
STICHAEIDAE,Fish
TARLETONBEANIA,Fish
TUNICATA,Tunicate
XENERETMUS.LATIFRONS,Fish
